,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
11263,S301GNCE,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28685,12378.0,32,50334440752.0,120512364293.0
18805,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30174,37764.0,23,53844563456.0,110612795667.0
16602,S300XBLY,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30317,7843.0,20,45975834352.0,185133958589.0
18807,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30151,37764.0,23,53821030080.0,110512979104.0
18786,Z3034TD3,4000787030016,0,0.0,0.0,2.0,0.0,0.0,28584,331510.0,34,23530684844.0,223146076694.0
18808,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30127,37764.0,23,53801703064.0,110434819867.0
11408,Z3029AP9,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34111,57323.0,17,54936369816.0,134130168087.0
18809,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30102,37764.0,23,53759434680.0,110292038257.0
18934,Z304L8J0,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27294,6019.0,22,45219546408.0,119801389064.0
18811,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30078,37764.0,23,53729755000.0,110170800405.0
20906,Z302FRB3,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34110,55994.0,16,56576958560.0,144848845781.0
18802,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30054,37764.0,23,53707402512.0,110073958513.0
10328,Z3029GKP,4000787030016,0,0.0,0.0,1.0,0.0,0.0,34515,66022.0,23,28597340851.0,252578205280.0
16059,S300Z63D,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31735,38443.0,21,53684184864.0,106563030822.0
18456,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28253,7429.0,21,50638486968.0,104285315192.0
18456,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28229,7429.0,21,50615709936.0,104141133046.0
15493,Z304JGRV,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27540,14858.0,23,47004757056.0,154215761134.0
18458,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28205,7429.0,21,50602950880.0,104059163333.0
13790,Z3026YZD,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34085,57472.0,22,54878069376.0,125916936710.0
18458,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28181,7429.0,21,50586330112.0,103957262215.0
1217,Z304L9P4,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27270,5453.0,22,45527267904.0,140076385083.0
18460,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28158,7429.0,21,50573820528.0,103835622207.0
405,Z302AK2W,4000787030016,0,0.0,0.0,0.0,0.0,0.0,32406,35415.0,19,56479688400.0,118368774240.0
18461,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28133,7429.0,22,50554171928.0,103731001231.0
8458,Z304JANE,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28256,7944.0,21,50955865768.0,112283578850.0
18462,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28109,7429.0,21,50533630616.0,103631412080.0
5179,S301N9NJ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27582,15194.0,22,46632167656.0,113042526852.0
18464,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28085,7429.0,21,50510232960.0,103530754264.0
21037,Z302B0X7,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34082,55541.0,19,54295707048.0,138899866926.0
18456,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28061,7429.0,21,50489699312.0,103391859975.0
20019,Z302591C,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36293,29869.0,28,24276255897.0,178348705183.0
18460,Z304K4G7,4000787030016,1,0.0,0.0,0.0,0.0,0.0,28038,7429.0,21,50478674304.0,103335589116.0
20412,Z305D6NY,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25516,3711.0,19,44510773160.0,117628856924.0
20497,Z3051WQZ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,19448,1137.0,23,24758763392.0,99109642302.0
5252,S301NGFG,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27488,15104.0,24,45865545344.0,104849068450.0
7683,Z304L8EV,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27149,10534.0,19,46530382016.0,108307746068.0
818,Z305DGGP,4000787030016,1,8.0,62.0,0.0,232.0,232.0,25427,4310.0,22,44148008952.0,126044263790.0
3391,Z30252BN,4000787030016,1,3496.0,7.0,0.0,488.0,488.0,36769,59066.0,24,24342434258.0,213309753246.0
16589,Z3025RY0,4000787030016,1,0.0,0.0,0.0,472.0,472.0,35399,138702.0,26,23592750758.0,221506860259.0
818,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25403,4308.0,23,44127769728.0,125883650077.0
5853,Z305D5RL,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25430,4831.0,22,45812443904.0,114281976727.0
3391,Z30252BN,4000787030016,1,2760.0,7.0,0.0,400.0,400.0,36745,59066.0,25,24341070871.0,213270455033.0
16700,S300ZQCV,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30512,41555.0,22,54101517272.0,115078399698.0
16590,Z3025RY0,4000787030016,1,0.0,0.0,0.0,296.0,296.0,35375,138702.0,26,23591106425.0,221476604652.0
10625,Z305GY1T,4000787030016,0,0.0,0.0,0.0,0.0,0.0,24990,3765.0,23,43613997760.0,125593738372.0
818,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25379,4308.0,23,44108293736.0,125693199778.0
3993,Z30250GA,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36194,28450.0,24,24216921323.0,185980606916.0
3391,Z30252BN,4000787030016,1,2520.0,7.0,0.0,264.0,264.0,36721,59066.0,25,24339799047.0,213232931614.0
18258,Z3029AWY,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34567,54152.0,27,25405632611.0,218102414410.0
16590,Z3025RY0,4000787030016,1,0.0,0.0,0.0,256.0,256.0,35351,138702.0,26,23589783560.0,221445859906.0
17373,Z302T6LM,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28832,11035.0,34,52557434112.0,115585644341.0
818,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25356,4308.0,22,44094271376.0,125550306517.0
7298,Z305EWK1,4000787030016,0,0.0,0.0,0.0,0.0,0.0,24990,4105.0,24,42071604984.0,131466756021.0
3391,Z30252BN,4000787030016,1,2088.0,7.0,0.0,176.0,176.0,36697,59066.0,25,24338509113.0,213194498104.0
8668,Z304KDA1,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28159,7258.0,21,48328992744.0,117324843724.0
16593,Z3025RY0,4000787030016,1,0.0,0.0,0.0,176.0,176.0,35327,138702.0,26,23588390500.0,221410070286.0
20285,S300Z70N,4000787030016,0,0.0,3.0,0.0,8.0,8.0,31160,158779.0,18,47681833168.0,111583321300.0
820,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25332,4308.0,22,44078674760.0,125424141749.0
1579,S300YGZT,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31156,166676.0,19,48598956072.0,111222025249.0
3393,Z30252BN,4000787030016,1,1992.0,7.0,0.0,160.0,160.0,36673,59066.0,26,24337146686.0,213157360235.0
22050,S3003TK3,4000787030016,0,0.0,0.0,0.0,0.0,0.0,29840,49342.0,27,50731082312.0,135624902633.0
16586,Z3025RY0,4000787030016,1,0.0,0.0,0.0,136.0,136.0,35303,138702.0,26,23587075047.0,221380597647.0
7063,S300YS42,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30102,51661.0,22,49580150296.0,115720652411.0
820,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25308,4308.0,22,44061014240.0,125278578643.0
9137,Z303Z0CA,4000787030016,0,0.0,0.0,0.0,0.0,0.0,13188,152598.0,17,8785365358.0,27633171660.0
3393,Z30252BN,4000787030016,1,1936.0,7.0,0.0,152.0,152.0,36649,59066.0,25,24335856547.0,213118141340.0
15726,S301J66R,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27489,13688.0,20,47955548912.0,117370639946.0
16590,Z3025RY0,4000787030016,1,0.0,0.0,0.0,136.0,136.0,35279,138702.0,26,23585761377.0,221350609178.0
6538,Z3041FRQ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28211,6790.0,21,48324595384.0,129216258296.0
821,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25283,4308.0,22,44040170608.0,125129077297.0
22839,Z305DTZA,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25424,4176.0,25,44205217456.0,137814879895.0
3394,Z30252BN,4000787030016,1,1912.0,7.0,0.0,152.0,152.0,36625,59066.0,23,24334537880.0,213079622192.0
18850,Z303ZTN9,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27650,10310.0,23,47662433312.0,123000517257.0
16604,Z3025RY0,4000787030016,1,0.0,0.0,0.0,64.0,64.0,35256,138702.0,25,23584425991.0,221319460688.0
21900,Z304L9NP,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27174,5960.0,19,45950662912.0,132475648506.0
823,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25259,4308.0,22,44017903872.0,124962643550.0
19745,Z305NAVM,4000787030016,0,0.0,0.0,0.0,0.0,0.0,24821,51485.0,23,38622770576.0,106995684548.0
3398,Z30252BN,4000787030016,1,1856.0,7.0,0.0,144.0,144.0,36601,59066.0,25,24333230710.0,213042282502.0
3389,Z30252BQ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36771,28795.0,24,24622588016.0,199781254981.0
16638,Z3025RY0,4000787030016,1,0.0,0.0,0.0,24.0,24.0,35231,138702.0,26,23583012905.0,221288108029.0
10965,Z3050DRH,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25805,8033.0,19,45581953824.0,109556068433.0
823,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25235,4308.0,22,44001217584.0,124787718416.0
17621,Z302T68R,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28567,15900.0,29,50169675576.0,115845677935.0
3398,Z30252BN,4000787030016,1,1840.0,7.0,0.0,144.0,144.0,36577,59066.0,25,24331877105.0,213002170108.0
13308,S300Z6Z1,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30654,38849.0,23,55412530232.0,103753360789.0
16638,Z3025RY0,4000787030016,1,0.0,0.0,0.0,24.0,24.0,35207,138702.0,25,23581572520.0,221258571377.0
18980,Z3053PX6,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25179,8299.0,28,41999312432.0,113185360470.0
825,Z305DGGP,4000787030016,1,0.0,9.0,0.0,128.0,128.0,25211,4308.0,22,43977800144.0,124616266452.0
3133,S300XA2B,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34459,19425.0,26,23976041349.0,254026165515.0
3403,Z30252BN,4000787030016,1,1824.0,7.0,0.0,136.0,136.0,36553,59066.0,25,24330580089.0,212960803197.0
6236,S301K53M,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27645,12555.0,22,47844622328.0,107441280349.0
16665,Z3025RY0,4000787030016,1,0.0,0.0,0.0,8.0,8.0,35184,138702.0,26,23580222760.0,221228393475.0
1093,Z302SQ7T,4000787030016,0,0.0,0.0,0.0,0.0,0.0,29240,18945.0,22,52552020264.0,105146511997.0
7996,Z302T6B7,4000787030016,0,0.0,0.0,0.0,0.0,0.0,29414,199582.0,25,26103098985.0,332015982074.0
16842,Z304KCW0,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26754,237438.0,26,30170088720.0,124518374640.0
